id;name;size;team;country;speciality;academic role;ph role
151;Jimmy Medeiros;10;PT;BR;political science;Researcher;editor
152;João Gilberto Neves Saraiva;1;PT;BR;history;Licenciado;translator
153;Joana Vieira Paulino;6;PT;PT;history;Phd;reviewers
154;Joanna Swafford;1;EN;US;english studies;Assistant Professor;reviewers
155;John Fink;2;EN;US;library science;Master;reviewers
156;John R. Ladd;2;EN;US;english studies;Post-doc;authors
157;John Russell;2;EN;US;religious studies;MLS;reviewers
158;Jon Crump;1;EN;EN;digital humanities;;authors
159;Jon MacKay;1;EN;EN;management;;authors
160;Jonathan Blaney;2;EN;EN;digital humanities;;authors
161;Jonathan Reeve;1;EN;US;literature and developer;Web Developer;authors
162;José Antonio Motilla;10;ES;MX;history;Profesor;reviewers
163;José Calvo Tello;1;ES;ES;0;;reviewers
164;José Luis Losada;1;ES;ES;0;;reviewers
165;Joseba Moreno;2;ES;ES;0;;reviewers
166;Josh MacFadyen;4;EN;CA;history and environment;Phd;authors
167;Josh Romphf;1;EN;EN;0;;reviewers
168;Joshua G. Ortiz Baco;4;ES;US;literature;Graduate Research Assistant, Digital Scholarship Lab Manager;editor
169;Joshua Ortiz-Baco;1;ES;ES;literature;MA;reviewers
170;Josir C. Gomes;4;PT;;0;;translator
171;Josir Cardoso Gomes;3;PT;BR;management;Phd;editor
172;Juan Camilo Murcia;1;ES;ES;0;;reviewers
173;Juan Cobo;1;ES;GB;history;Phd;reviewers
174;Juliana Marques da Silva;1;PT;;0;;reviewers
175;Justin Colson;1;EN;GB;history;Lecturer;authors
176;Justin Larsen;1;EN;EN;0;;reviewers
177;Kahlila Chaar-Pérez;1;ES;ES;0;;reviewers
178;Kellen Kurschinski;1;EN;EN;history;;authors
179;Kim Pham;1;EN;CA;library science;Molecular Biology;authors
180;Konrad Lawson;1;EN;US;history;Phd;reviewers
181;Léon Robichaud;1;EN;EN;0;;reviewers
182;Laura Turner O'Hara;1;EN;EN;history;;authors
183;Lauren Tilton;3;EN;US;digital humanities;Associate Professor;reviewers
184;Lee Skallerup Bessette;1;EN;EN;0;;reviewers
185;Lisa Lowry;1;EN;EN;0;;reviewers
186;Lizzie Scholtus;1;FR;FR;0;;reviewers
187;Lorena Campuzano;1;ES;ES;0;;translator
188;Lucas Terriel;1;FR;FR;0;;translator
189;Luis Ferla;1;PT;BR;0;;reviewers
190;Luisina Silva;1;ES;ES;0;;reviewers
191;Luke Bergmann;1;EN;EN;history;;reviewers
192;Luling Huang;1;EN;EN;0;;reviewers
193;M. H. Beals;4;EN;EN;digital history;;reviewers
194;M. Willis Monroe;1;EN;US;history;Phd;reviewers
195;Márcia T. Cavalcanti;1;PT;;0;;translator
196;Manon Durier;1;FR;FR;;;reviewers
197;Manuel Marco Such;1;ES;ES;0;;authors
198;María Dolores Sáez;1;ES;ES;0;;authors
199;María José Cabra Montes;1;ES;ES;0;;translator
200;María Pilar Escobar;1;ES;ES;0;;authors
201;María-Jesús Colmenero-Ruiz;2;ES;ES;0;Licenciado;translator
202;Marcelo Raimundo;1;ES;ES;0;;authors
203;Marco Büchler;1;EN;EN;0;;reviewers
204;Maria Guedes;2;PT;;0;;reviewers
205;María José Afanador-Llach;31;ES;US;history;Assistant Professor;reviewers
206;Mariana Affonso Penna;1;PT;BR;history;Phd;translator
207;Marie Puren;2;FR;FR;history;Post-doc;reviewers
208;Marie-Anne Vibet;1;FR;FR;digital humanities;;reviewers
209;Marie-Christine Boucher;5;FR;DE;literrature;Phd;reviewers
210;Marten Düring;1;EN;EN;littérature;;authors
211;Martin Grandjean;1;FR;CH;history;Phd;reviewers
212;Mathilda Shepard;1;ES;ES;art history;;reviewers
213;Matteo Romanello;1;EN;GB;digital humanities;Phd;authors
214;Matthew J. Lavin;1;EN;US;literature;Clinical Assistant Professor and Director of Digital Media Lab;authors
215;Matthew Lincoln;4;EN;US;art history and developer; None;editor
