pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total contrib;orcid_id;have_orcid;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3
Quinn Dombrowski;13/05/2019;08/12/2019;0;0;2;0;0;1;1;0;0;0;0;2;0000-0001-5802-6623;1;Digital Scholarship Specialist / IT Analyst;;;Berkeley;;;US;;;University of California Berkeley;;;Research IT;;
Catherine Nygren;13/05/2019;13/05/2019;0;0;1;0;0;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Zoe LeBlanc;27/07/2018;13/05/2019;1;0;3;0;0;0;2;1;0;0;0;3;0000-0003-2012-8805;1;;;;;;;;;;;;;;;
Kellen Kurschinski;13/09/2013;13/09/2013;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;0;0;3;0000-0003-1891-1112;1;Adjunct Faculty;;;Detroit;;;US;;;Wayne State University;;;School of Information Sciences;;
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-0276-8078;1;Phd;;;Cambridge;;;US;;;Harvard University;;;History;;Office of Research
Ian Milligan;27/06/2012;27/07/2018;6;0;14;0;0;4;0;10;0;0;0;14;0000-0002-1470-7723;1;Master;Intern;Associate Vice-President, Research Oversight and Analysis;Toronto;Toronto;Waterloo;CA;CA;CA;York University;University of Toronto;University of Waterloo;History;Faculty of Information Studies;
Aurélien Berra;27/06/2012;27/06/2012;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-1695-8497;1; None;;;Paris;;;FR;;;Ecole des Hautes Etudes en Sciences Sociales;;; None;;Information Studies
Adam Crymble;27/06/2012;22/05/2019;7;0;46;0;17;20;5;21;0;17;0;63;0000-0003-4343-0265;1;;Senior Lecturer;Lecturer;;Hatfield;London;;GB;GB;;University of Hertfordshire;University College London;;History;
Taylor Arnold;27/03/2017;05/05/2020;3;0;4;0;0;1;3;0;0;0;0;4;0000-0002-3575-1512;1;None;;;Springfield;;;US;;;Ozarks Technical Community College;;; None;;
Lauren Tilton;27/03/2017;20/08/2018;1;0;3;0;0;1;2;0;0;0;0;3;0000-0003-4629-8888;1;;;;;;;;;;;;;;;
Brandon Walsh;05/08/2016;04/12/2021;5;0;11;0;0;2;1;8;0;0;0;11;0000-0002-2785-3519;1;;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;;;Lexington;;;US;;;Washington and Lee University;;;University of Virginia;
John Russell;05/09/2016;27/03/2017;1;0;2;0;0;0;2;0;0;0;0;2;0000-0002-7998-940X;1;MLS;;;Bloomington;;;US;;;Indiana University;;; None;;Religious Studies
Jeri Wieringa;21/07/2016;08/12/2019;3;0;5;0;0;0;1;4;0;0;0;5;0000-0002-9364-2808;1;Master;Phd;Assistant Professor;New Haven;Fairfax;Tuscaloosa;US;US;US;Yale University Yale Divinity School;George Mason University;The University of Alabama; None;History and Art History;
Brad Rittenhouse;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-0669-8724;1;;;;;;;;;;;;;;;
Ximin Mi;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;Sociology
Courtney Allen;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-5750-5988;1;;; None;;;Seattle;;;US;;;University of Washington;;;
Telmo Menezes;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-7204-6428;1;Phd;;;Coimbra;;;PT;;;Universidade de Coimbra;;;Faculty of Science and Technology;;
Ed Summers;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
James Baker;30/04/2014;16/10/2019;5;0;6;0;0;3;1;2;0;0;0;6;;0;;;;;;;;;;;;;;;
Amanda Visconti;18/04/2016;23/11/2020;4;0;3;0;0;2;0;1;0;0;0;3;0000-0001-8584-8323;1;Various roles (research fellow, webmaster, research assistant);;;College Park;;;US;;;Maryland Institute for Technology in the Humanities;;;Technology in the Humanities;;UD Library, Museums & Press
Paige Morgan;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-8076-7356;1;Graduate Teaching Assistant/Instructor;Digital Humanities Librarian;Librarian;Seattle;Coral Gables;Newark;US;US;US;University of Washington;University of Miami;University of Delaware;English;University of Miami Libraries;
Jamie Howe;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
Fred Gibbs;11/11/2012;10/08/2018;6;0;12;0;0;1;1;10;0;0;0;12;;0;;;;;;;;;;;;;;;
Seth van Hooland;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-2612-2228;1;;;;;;;;;;;;;;;
Ruben Verborgh;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-8596-222X;1;;;;;;;;;;;;;;;Multilingual Communication Technology
Max De Wilde;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-6834-0250;1;;Phd;Lecturer;;Brussels;Geneva;;BE;CH;;Université Libre de Bruxelles;University of Geneva;;Information Science;
Patrick Burns;22/06/2013;08/12/2019;6;0;3;0;0;0;3;0;0;0;0;3;0000-0003-2158-866X;1;;Phd;;;Bronx;;;US;;;Fordham University;;;Classics;
Nora McGregor;05/08/2013;05/08/2013;0;0;1;0;0;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
