orcid_id;begin;end;role;institution;city;country;speciality
0000-0002-3440-6039;1993;2012;Professor;Université de Franche-Comté;Besancon;FR;UFR SLHS, English department
0000-0002-3752-9536;2022;;Professor;Universitat Oberta de Catalunya;Barcelona;ES;Máster universitario en Enseñanza y Aprendizaje de Idiomas mediante la Tecnología (Área de Artes y Humanidades)
0000-0002-4211-1062;2014;;Professor;BPP Law School;London;GB;Law
0000-0003-4734-9894;2004;;Professor;University of Western Ontario;London;CA;History
0000-0002-2094-8216;2021;;Professor;Instituto Federal de Educação Ciência e Tecnologia do Rio Grande do Norte;Santa Cruz;BR;History
0000-0001-7750-7246;1993;;Professor;Universidade Estadual Paulista Júlio de Mesquita Filho - Câmpus de Marília;Marilia;BR;Filosofia
0000-0002-3440-6039;2012;;Professor;Université de Strasbourg;Strasbourg;FR;Faculté des Langues, English department
0000-0003-0591-5560;2017;;Professor;Universidad Autónoma de San Luis Potosí;San Luis Potosi;MX;Facultad del Hábitat 
0000-0001-6741-6746;2005;2012;Professor;Universidad de Buenos Aires;Buenos Aires;AR;Facultad de Filosofía y Letras 
0000-0002-2877-0539;2005;2007;Professor;Universidad Del Rosario;Bogota;CO;Escuela de Ciencias Humanas
0000-0002-1895-3905;2010;;Professor;Fundação Getulio Vargas;Rio de Janeiro;BR;Escola de Matemática Aplicada
0000-0002-1895-3905;;2004;Professor;Universidade Federal de Minas Gerais;Belo Horizonte;BR;Escola de Ciencia da Informacao
0000-0002-3752-9536;2012;;Professor;Università degli Studi di Milano;Milano;IT;Dipartimento di Lingue e letterature Straniere
0000-0003-3696-4189;2017;;Professor;University of Stavanger;Stavanger;NO;Department of Cultural Studies and Languages
0000-0001-5415-795X;2018;;Professor;Instituto Federal de Goiás;Goiânia;BR;Departamento de Áreas Acadêmicas I
0000-0002-2442-3193;2005;;Professor;El Colegio de Michoacán;Zamora;MX;Centro de Estudios históricos
0000-0002-1650-1091;2019;;Professor;Universidad Complutense de Madrid;Madrid;ES;Biblioteconomía y Documentación
0000-0002-2094-8216;2016;;Professor;Prefeitura de Parnamirim;Parnamirim;BR; None
0000-0001-5452-3913;2018;2021;Post-doc;CNRS;Lyon;FR;LARHRA
0000-0003-4558-3310;2019;;Post-doc;Cornell University;Ithaca;US;Information Science
0000-0001-5116-3828;2013;2016;Post-doc;National Research University Higher School of Economics;Moscow;RU;History
0000-0001-7750-7246;2002;2004;Post-doc;Ruhr-Universität Bochum;Bochum;DE;Hegel Archiv
0000-0001-5542-3754;2019;2020;Post-doc;University of Ottawa;Ottawa;CA;Faculty of Medicine
0000-0003-2158-866X;2019;;Post-doc;University of Texas at Austin;Austin;US;Classics
0000-0002-9126-2991;2016;;Post-doc;University of British Columbia;Vancouver;CA;Asian Studies
0000-0002-5440-062X;2019;2021;Post-doc;Northwestern University;Evanston;US;Alice Kaplan Institute for the Humanities
0000-0002-4903-1372;2015;2017;Post-doc;Université de Versailles-Saint-Quentin-en-Yvelines;Guyancourt;FR; None
0000-0001-5759-4944;2017;2018;Post-doc;CNRS;Paris;FR;" ""Laboratoire Archéomatériaux et Prévention de l'Altération"""
0000-0001-8627-8991;2016;2021;Phd;Université de Strasbourg;Strasbourg;FR;UMR-7044 Archimède
0000-0002-9723-4262;2016;;Phd;University of Texas at Austin;Austin;US;Spanish and Portuguese
0000-0002-1637-8505;2016;;Phd;Universidade do Estado do Rio de Janeiro Instituto de Estudos Sociais e Politicos;Rio de Janeiro;BR;Sociology
0000-0001-7492-7237;2019;;Phd;University of London School of Advanced Study;London;GB;School of Advanced Study
0000-0002-2094-8216;2015;2019;Phd;Universidade Federal Fluminense;Niteroi;BR;Programa de Pós-Graduação em História
0000-0002-6255-3781;2016;2021;Phd;Pontifícia Universidade Católica do Rio de Janeiro;Rio de Janeiro;BR;Programa de Pós-Graduação em Estudos da Linguagem
0000-0001-7629-1404;2017;2022;Phd;Instituto Brasileiro de Informação em Ciência e Tecnologia;Rio de Janeiro;BR;PPGCI/UFRJ
0000-0001-8385-3030;;2012;Phd;University College London;London;GB;Political Science
0000-0002-9029-5564;2015;2020;Phd;Université du Québec à Montréal;QC;CA;Political Science
0000-0002-8174-4524;2010;2014;Phd;Freie Universität Berlin;Berlin;DE;Political and Social Sciences
0000-0003-2670-6514;2017;;Phd;Georgia Institute of Technology;Atlanta;US;Ocean Sciences and Engineering
0000-0002-4295-895X;2013;2017;Phd;University of Nebraska-Lincoln;Lincoln;US;Modern Languages and Literatures
0000-0002-0734-3538;;;Phd;University of St Andrews;St Andrews;GB;Modern Languages
0000-0002-5406-8807;;2014;Phd;University of Connecticut;Storrs;US;Medieval Studies
0000-0002-9058-2280;2010;2015;Phd;University of Illinois at Urbana-Champaign;Champaign;US;Library and Information Science
0000-0002-6834-0250;2010;2015;Phd;Université Libre de Bruxelles;Brussels;BE;Information Science
0000-0002-8280-3338;2012;;Phd;UFRJ;Rio de Janeiro;BR;IE - Instituto de Economia
0000-0002-0688-3006;2011;2015;Phd;University of Southampton;Southampton;GB;Humanities / Web Science CDT
0000-0003-4734-9894;1999;2004;Phd;Massachusetts Institute of Technology;Cambridge;US;History, Anthropology, STS
0000-0002-3201-8462;;2018;Phd;Bryn Mawr College;Bryn Mawr;US;History of Art
0000-0002-6051-6274;1999;2003;Phd;Aberystwyth University;Aberystwyth;GB;History and Welsh History
0000-0002-7883-2996;;2010;Phd;George Mason University;Fairfax;US;History and Art History
0000-0002-9364-2808;2011;2019;Phd;George Mason University;Fairfax;US;History and Art History
0000-0002-5958-9038;2010;2019;Phd;George Mason University;Fairfax;US;History & Art History
0000-0003-2652-5799;2008;2016;Phd;University of Texas at Austin;Austin;US;History
0000-0002-0276-8078;2004;2012;Phd;Harvard University;Cambridge;US;History
0000-0001-5519-8331;2007;2013;Phd;University of Virginia;Charlottesville;US;History
0000-0003-4981-1587;;2012;Phd;University of New Hampshire;Durham;US;History
0000-0002-4352-2154;2008;2011;Phd;Royal Holloway University of London;Egham;GB;History
0000-0002-1568-8843;;2010;Phd;University of Guelph;Guelph;CA;History
