pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3;role1;role2;role3;speciality_sofia;institution_sofia;year_start_sofia;country sofia;city sofia;institution_clean;year_start_sofia;country sofia;city sofia;;;;;;;;;;;
Taylor Arnold;27/03/2017;05/05/2020;3;0;4;0;0;1;3;0;0;4;0000-0002-3575-1512;1;0;1;0;0;1;1;0;0;None;;;Springfield;;;US;;;Ozarks Technical Community College;;; None;;;;Phd;;statistics;;;;;;2017;US;Springfield;;;;;;;;;;;
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;4;0000-0002-4387-3384;1;0;1;0;0;1;1;1;0;MA; None;;College Park;Los Angeles;;US;US;;University of Maryland;Getty Research Institute;;Art History & Archaeology; None;Lehrstuhl fÃ¼r Religionswissenschaft;;;;art history and developer;;;;;0;2016;US;Los Angeles;;;;;;;;;;;
Joshua G. Ortiz Baco;31/10/2018;14/12/2021;3;0;0;0;4;1;1;2;0;4;0000-0002-9723-4262;1;0;0;0;1;1;1;1;0;MA;Graduate Research Assistant, Digital Scholarship Lab Manager;;Madrid;Austin;;ES;US;;Universidad AutÃ³noma de Madrid;University of Texas at Austin;;FilosofÃ­a y Letras;LLILAS Benson Latin American Digital Initiatives;;;;;literature; University of Texas at Austin;2019;USA;Austin; University of Texas at Austin;2019;USA;Austin;;;;;;;;;;;
Jean-Luc Mirepoix;19/11/2021;19/11/2021;0;1;0;0;0;0;1;0;0;1;;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;MSc;;;;;;;;;2021;;;;;;;;;;;;;
M. H. Beals;20/09/2014;24/07/2016;2;0;4;0;0;1;3;0;0;4;;0;0;1;0;0;1;1;0;0;;;;;;;;;;;;;;;School of Earth and Atmospheric Sciences;Professor;;;digital history;;;;;;2014;;;;;;;;;;;;;
Amanda Visconti;18/04/2016;23/11/2020;4;0;3;0;0;2;0;1;0;3;0000-0001-8584-8323;1;0;1;0;0;1;0;1;0;Various roles (research fellow, webmaster, research assistant);;;College Park;;;US;;;Maryland Institute for Technology in the Humanities;;;Technology in the Humanities;;UD Library, Museums & Press;;;;digital humanities;;;;;;2016;US;College Park;;;;;;;;;;;
Lauren Tilton;27/03/2017;20/08/2018;1;0;3;0;0;1;2;0;0;3;0000-0003-4629-8888;1;0;1;0;0;1;1;0;0;;;;;;;;;;;;;;;;Phd;;;digital humanities;;;;;;2017;;;;;;;;;;;;;
Scott Weingart;02/09/2012;23/08/2017;5;0;2;0;0;2;0;0;0;2;0000-0001-9792-9446;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;Digital Media, Arts, and Technology;5;;Digital Services Librarian;digital humanities and history;;;;;;2012;;;;;;;;;;;;;
GÃ©raldine Castel;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;1;1;;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;DÃ©partement des collections et de la conservation;;;;;;;;;;2020;;;;;;;;;;;;;
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;2;0000-0002-5440-062X;1;0;1;0;0;1;0;0;0;MA;Post-doc;Visiting Assistant Professor;Washington;Evanston;Granville;US;US;US;Georgetown University;Northwestern University;Denison University;English;Alice Kaplan Institute for the Humanities;;;Assistant Professor;Assistant Professor;;;;;;Denison University;2017;US;Evanston;;;;;;;;;;;
NicolÃ¡s Vaughan;27/07/2021;16/11/2021;0;0;0;0;2;2;0;0;0;2;0000-0002-2877-0539;1;0;0;0;1;1;0;0;0;Tutor in Logic;;;Oxford;;;GB;;;University of Oxford;;;Faculty of Philosophy;;;;;;;;;;;;2021;GB;Oxford;;;;;;;;;;;
Quinn Dombrowski;13/05/2019;08/12/2019;0;0;2;0;0;1;1;0;0;2;0000-0001-5802-6623;1;0;1;0;0;1;1;0;0;Digital Scholarship Specialist / IT Analyst;;;Berkeley;;;US;;;University of California Berkeley;;;Research IT;;;5;Phd;Assistant Professor;;;;;;;2019;US;Berkeley;;;;;;;;;;;
Morgane Pica;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;1;;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2022;;;;;;;;;;;;;
Dave Rodriguez;20/12/2018;11/12/2020;2;0;1;0;1;1;0;0;1;2;0000-0001-9759-8464;1;0;1;0;1;1;0;0;1;Master;;Digital Services Librarian;Gainesville;;Tallahassee;US;;US;University of Florida;;Florida State University;English;;;LingÃ¼ista;;;library science;;;;;Florida State University;2018;US;Gainesville;;;;;;;;;;;
Gustavo Candela;06/01/2021;30/08/2021;0;0;1;0;1;1;1;0;0;2;0000-0001-6122-0777;1;0;1;0;1;1;1;0;0;Research Engineer;;;Alicante;;;ES;;;Universidad de Alicante;;;Escuela PolitÃ©cnica Superior;;;Phd;;;;;;;;;2021;ES;Alicante;;;;;;;;;;;
Jonathan Blaney;07/07/2016;07/05/2017;1;0;2;0;0;1;1;0;0;2;0000-0002-5044-5038;1;0;1;0;0;1;1;0;0;;;;;;;;;;;;;;;;;;;digital humanities;;;;;;2016;;;;;;;;;;;;;
Fanny MÃ©zard;03/05/2019;03/05/2019;0;1;0;0;0;0;1;0;0;1;;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2019;;;;;;;;;;;;;
Anastasiia Zadykhina;30/07/2020;30/07/2020;0;1;0;0;0;0;0;0;1;1;;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;" ""MÃ©thodes NumÃ©riques pour les Sciences de l'Humain et de la SociÃ©tÃ©""";Adjunct Faculty;;;;;;;;;2020;;;;;;;;;;;;;
Nabeel Siddiqui;19/06/2015;31/07/2017;2;0;2;0;0;1;1;0;0;2;;0;0;1;0;0;1;1;0;0;;;;;;;;;;;;;;;Library and Information Science;Master;;;digital humanities and american studies; Susquehanna University;2020;USA;Selinsgrove; Susquehanna University;2020;USA;Selinsgrove;;;;;;;;;;;
Camille Carette;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;1;1;;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;INCITE;Master;Intern;Associate Vice-President, Research Oversight and Analysis;;;;;;;2020;;;;;;;;;;;;;
Caleb McDaniel;03/03/2014;24/04/2017;3;0;2;0;0;1;0;1;0;2;;0;0;1;0;0;1;0;1;0;;;;;;;;;;;;;;;; None;;;history;;;;;;2014;;;;;;;;;;;;;
Sybille Clochet;10/04/2019;10/04/2019;0;1;0;0;0;0;0;0;1;1;;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;Senior Lecturer;Lecturer;;;;;;;2019;;;;;;;;;;;;;
Anne-Sophie Bessero-Lagarde;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;1;1;;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;None;;;;;;;;;2020;;;;;;;;;;;;;
Silvia GutiÃ©rrez De la Torre;20/04/2019;30/08/2021;2;0;0;0;2;1;1;0;0;2;;0;0;0;0;1;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2019;;;;;;;;;;;;;
Gabriel Calarco;01/03/2021;14/12/2021;0;0;0;0;2;1;0;0;1;2;;0;0;0;0;1;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-4352-2154;1;0;1;0;0;1;0;0;0;Phd;Lecturer;Senior Lecturer;Egham;Colchester;London;GB;GB;GB;Royal Holloway University of London;University of Essex;Institute of Historical Research, University of London;History;History;;5;5;Visiting lecturer;history;;;;;Institute of Historical Research, University of London;2017;GB;Colchester;;;;;;;;;;;
Megan R. Brett;24/02/2016;24/02/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-7474-7196;1;0;1;0;0;1;0;0;0;MSc;;;Edinburgh;;;GB;;;University of Edinburgh;;;Scottish Studies;;;Phd;Lecturer;Senior Lecturer;digital history;;;;;;2016;GB;Edinburgh;;;;;;;;;;;
Catherine Nygren;13/05/2019;13/05/2019;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2019;;;;;;;;;;;;;
Tassie Gniady;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;1;0000-0001-8693-3677;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;; None;;Professor;;;;;;;2019;;;;;;;;;;;;;
Peter Organisciak;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-9058-2280;1;0;1;0;0;1;0;0;0;Phd;;Assistant Professor;Champaign;;Denver;US;;US;University of Illinois at Urbana-Champaign;;University of Denver;Library and Information Science;;;;Project Manager;Librarian;ICS;;;;;University of Denver;2016;US;Champaign;;;;;;;;;;;
Andrew Akhlaghi;06/01/2021;06/01/2021;0;0;1;0;0;1;0;0;0;1;0000-0002-0824-3328;1;0;1;0;0;1;0;0;0;MA;;;Norman;;;US;;;The University of Oklahoma;;; None;;;5;Jefe de Servicio de BiometrÃ­a;Jefe de Ãrea;;;;;;;2021;US;Norman;;;;;;;;;;;
Simon Hengchen;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;1;0000-0002-8453-7221;1;0;1;0;0;1;0;0;0; None;;;Helsinki;;;FI;;;University of Helsinki;;; None;;;3;;Graduate Research Assistant;;;;;;;2021;FI;Helsinki;;;;;;;;;;;
Vincent Paillusson;01/04/2022;01/04/2022;0;1;0;0;0;1;0;0;0;1;0000-0003-1286-3893;1;1;0;0;0;1;0;0;0;MSc;;;Paris;;;FR;;;Sorbonne UniversitÃ©;;; None;;;Research Engineer;Post-doc;Enseignante-chercheuse;;;;;;;2022;FR;Paris;;;;;;;;;;;
Kim Pham;29/08/2017;29/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-9115-4739;1;0;1;0;0;1;0;0;0;Molecular Biology;; None;Toronto;;Denver;CA;;US;University of Toronto;;University of Denver; None;;;5;;Digital Archivist;library science;;;;;University of Denver;2017;CA;Toronto;;;;;;;;;;;
Jessica Otis;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0001-5519-8331;1;0;1;0;0;1;0;0;0;Phd;Digital Humanities Specialist;Director of Public Projects at the Roy Rosenzweig Center for History and New Media, Assistant Professor of History;Charlottesville;Pittsburgh;Fairfax;US;US;US;University of Virginia;Carnegie Mellon University;George Mason University;History;University Libraries;;5;Phd;Assistant Professor;digital humanities;;;;;George Mason University;2017;US;Pittsburgh;;;;;;;;;;;
Max De Wilde;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;1;0000-0002-6834-0250;1;0;1;0;0;1;0;0;0;;Phd;Lecturer;;Brussels;Geneva;;BE;CH;;UniversitÃ© Libre de Bruxelles;University of Geneva;;Information Science;;Graduate Teacher of Record;Graduate Research Fellow;Assistant Professor;ICS;;;;;University of Geneva;2013;BE;Brussels;;;;;;;;;;;
Beatrice Alex;31/10/2017;31/10/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-7279-1476;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;Phd;;Assistant Professor;linguistics;;;;;;2017;;;;;;;;;;;;;
Eric Weinberg;20/08/2018;20/08/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-3311-1060;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;5;Phd;;history;;;;;;2018;;;;;;;;;;;;;
Heather Froehlich;19/06/2015;19/06/2015;0;0;1;0;0;1;0;0;0;1;0000-0001-9984-725X;1;0;1;0;0;1;0;0;0;;Phd;Literary Informatics Librarian;;Glasgow;University Park;;GB;US;;University of Strathclyde;Pennsylvania State University;;English;;;Outreach and Engagement Manager;;gender studies;;;;;Pennsylvania State University;2015;GB;Glasgow;;;;;;;;;;;
Seth van Hooland;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;1;0000-0003-2612-2228;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;Phd;Associate Director;;ICS;;;;;;2013;;;;;;;;;;;;;
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;1;0000-0003-2696-1419;1;0;1;0;0;1;0;0;0;Phd;;;Lincoln;;;US;;;University of Nebraska-Lincoln;;;English;;;3;;;;;;;;;2021;US;Lincoln;;;;;;;;;;;
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;1;0000-0003-2827-1569;1;0;1;0;0;1;0;0;0;Web Developer;;;New York;;;US;;;Modern Language Association;;; None;;;Laboratory Technician;;;literature and developer;;;;;;2016;US;New York;;;;;;;;;;;
Andrew Janco;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;1;0000-0002-8872-9474;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;5;;;;;;;;;2022;;;;;;;;;;;;;
Nicolas Frerebeau;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;1;0000-0001-5759-4944;1;1;0;0;0;1;0;0;0;Phd;;;Pessac;;;FR;;;UniversitÃ© Bordeaux Montaigne;;;Art & Archeology;;;5;;;;;;;;;2021;FR;Pessac;;;;;;;;;;;
Ed Summers;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;Director;;;;;;;2019;;;;;;;;;;;;;
Ruben Verborgh;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;1;0000-0002-8596-222X;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;Multilingual Communication Technology;5;;;computer science;;;;;;2013;;;;;;;;;;;;;
Kellen Kurschinski;13/09/2013;13/09/2013;0;0;1;0;0;1;0;0;0;1;;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;Phd;;;history;;;;;;2013;;;;;;;;;;;;;
Evan Peter Williamson;12/08/2017;12/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-7990-9924;1;0;1;0;0;1;0;0;0;Master;;;Vancouver;;;CA;;;University of British Columbia;;;iSchool@UBC: School of Library, Archival and Information Studies;;Hesburgh Libraries;5;;;digital humanities and library science;;;;;;2017;CA;Vancouver;;;;;;;;;;;
Jamie Howe;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;MA;Phd; None;;;;;;;2016;;;;;;;;;;;;;
Grant Wythoff;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;1;0000-0002-6605-9596;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;Art;5;;;literature;;;;;;2014;;;;;;;;;;;;;
Jeff Blackadar;03/05/2018;03/05/2018;0;0;1;0;0;1;0;0;0;1;0000-0002-8160-0942;1;0;1;0;0;1;0;0;0;;Bachelor;;;Ottawa;;;CA;;;Carleton University;;;History;;5;;;ICS;;;;;0;2018;CA;Ottawa;;;;;;;;;;;
Matthew J. Lavin;13/05/2019;13/05/2019;0;0;1;0;0;1;0;0;0;1;0000-0003-3867-9138;1;0;1;0;0;1;0;0;0;Phd;Clinical Assistant Professor and Director of Digital Media Lab;Assistant Professor;Iowa City;Pittsburgh;Granville;US;US;US;University of Iowa;University of Pittsburgh;Denison University;English;English;;MLS;;;literature;;;;;Denison University;2019;US;Pittsburgh;;;;;;;;;;;
Go Sugimoto;22/05/2019;22/05/2019;0;0;1;0;0;1;0;0;0;1;0000-0003-2646-6784;1;0;1;0;0;1;0;0;0;Researcher; None; None;Tokyo;Vienna;Krems;JP;AT;AT;The National Museum of Modern Art, Tokyo;Austrian Academy of Sciences;Donau-UniversitÃ¤t Krems; None;Austrian Center for Digital Humanities;;Phd;;;data analysis;;;;;Donau-UniversitÃ¤t Krems;2019;AT;Vienna;;;;;;;;;;;
Seth Bernstein;04/10/2013;04/10/2013;0;0;1;0;0;1;0;0;0;1;0000-0001-5116-3828;1;0;1;0;0;1;0;0;0;;;Assistant Professor;;;Moscow;;;RU;;;National Research University Higher School of Economics;;;;Phd;;;history;;;;;National Research University Higher School of Economics;2013;;;;;;;;;;;;;
Nora McGregor;05/08/2013;05/08/2013;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2013;;;;;;;;;;;;;
Brad Rittenhouse;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;1;0000-0002-0669-8724;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;Teaching Assistant;;;digital humanities;;;;;;2019;;;;;;;;;;;;;
Ximin Mi;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;1;;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;Sociology;MA;Post-doc;Visiting Assistant Professor;ICS;;;;;;2019;;;;;;;;;;;;;
Matteo Romanello;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;1;0000-0002-7406-6286;1;0;1;0;0;1;0;0;0;Phd;;;London;;;GB;;;" ""King's College London""";;;Department of Digital Humanities;;;Web Developer;;;;;;;;;2021;GB;London;;;;;;;;;;;
Luling Huang;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;1;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2021;;;;;;;;;;;;;
Alex Wermer-Colan;29/09/2021;29/09/2021;0;0;1;0;0;0;0;1;0;1;;0;0;1;0;0;0;0;1;0;;;;;;;;;;;;;;;; None;;;; Temple University;2020;USA;Philadelphia; Temple University;2020;USA;Philadelphia;;;;;;;;;;;
Brice Lebrun;24/03/2021;24/03/2021;0;1;0;0;0;1;0;0;0;1;0000-0001-7503-8685;1;1;0;0;0;1;0;0;0;Master;;;Pessac;;;FR;;;UniversitÃ© Bordeaux Montaigne;;;None;;;;;;;;;;;;2021;FR;Pessac;;;;;;;;;;;
Courtney Allen;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;1;0000-0002-5750-5988;1;0;1;0;0;1;0;0;0;;; None;;;Seattle;;;US;;;University of Washington;;;;;;;;;;;;University of Washington;2019;;;;;;;;;;;;;
Marten DÃ¼ring;18/02/2015;18/02/2015;0;0;1;0;0;1;0;0;0;1;0000-0001-7411-771X;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;Department of English;;;;;;;;;;2015;;;;;;;;;;;;;
Halle Burns;17/05/2021;17/05/2021;0;0;1;0;0;1;0;0;0;1;0000-0003-2346-2876;1;0;1;0;0;1;0;0;0;Graduate Assistant;;;Urbana;;;US;;;University of Illinois;;;University Libraries;;;;;;;;;;;;2021;US;Urbana;;;;;;;;;;;
Jesse Sadler;03/05/2018;23/11/2020;2;0;2;0;0;0;2;0;0;2;;0;0;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;Phd;;;;;;;;;2018;;;;;;;;;;;;;
Christopher N. Warren;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;1;0000-0002-9881-682X;1;0;1;0;0;1;0;0;0;Phd;;;Oxford;;;GB;;;University of Oxford;;;English;;;;;;literature;;;;;;2017;GB;Oxford;;;;;;;;;;;
Stephen Krewson;14/01/2019;14/01/2019;0;0;1;0;0;1;0;0;0;1;0000-0002-6086-0649;1;0;1;0;0;1;0;0;0;Bachelor;;;Philadelphia;;;US;;;University of Pennsylvania;;;English;;;;;;literature and computer science;;;;;;2019;US;Philadelphia;;;;;;;;;;;
Laura Turner O'Hara;22/05/2013;22/05/2013;0;0;1;0;0;1;0;0;0;1;;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;Phd;Associate Professor;Associate Professor;history;;;;;;2013;;;;;;;;;;;;;
Thomas Jurczyk;29/09/2021;29/09/2021;0;0;1;0;0;1;0;0;0;1;;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;Graduate Assistant;;;;;;;;;2021;;;;;;;;;;;;;
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;1;0000-0003-1275-4101;1;0;1;0;0;1;0;0;0;Phd;;;Pittsburgh;;;US;;;Carnegie Mellon University;;;History;;;;;;;;;;;;2022;US;Pittsburgh;;;;;;;;;;;
Ted Dawson;21/07/2016;21/07/2016;0;0;1;0;0;1;0;0;0;1;0000-0002-9192-6233;1;0;1;0;0;1;0;0;0;MA;Phd;Visiting Assistant Professor;Berkeley;Nashville;College Park;US;US;US;University of California Berkeley;Vanderbilt University;University of Maryland;German;German;History, Anthropology & Philosophy;;;;german studies;;;;;University of Maryland;2016;US;Nashville;;;;;;;;;;;
Scholars' Lab Community;23/11/2020;23/11/2020;0;0;1;0;0;1;0;0;0;1;;0;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;Phd;Digital Humanities Specialist;Director of Public Projects at the Roy Rosenzweig Center for History and New Media, Assistant Professor of History;;;;;;;2020;;;;;;;;;;;;;
David Kloster;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;1;0000-0001-8577-8409;1;0;1;0;0;1;0;0;0;Master;;;Bloomington;;;US;;;Indiana University;;;School of Informatics, Computing, and Engineering;; None;;;;;;;;;;2019;US;Bloomington;;;;;;;;;;;
Vilja Hulden;17/12/2014;17/12/2014;0;0;1;0;0;1;0;0;0;1;0000-0002-3812-7010;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;;history;;;;;;2014;;;;;;;;;;;;;
