Lauren Tilton;27/03/2017;20/08/2018;1;0;3;0;0;1;2;0;0;0;0;0000-0003-4629-8888;;;;;;;;;;;;;;;;
Brandon Walsh;05/08/2016;04/12/2021;5;0;11;0;0;2;1;8;0;0;0;0000-0002-2785-3519;;;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;;;Lexington;;;US;;;Washington and Lee University;;;University of Virginia;
John Russell;05/09/2016;27/03/2017;1;0;2;0;0;0;2;0;0;0;0;0000-0002-7998-940X;;MLS;;;Bloomington;;;US;;;Indiana University;;; None;;
Jeri Wieringa;21/07/2016;08/12/2019;3;0;5;0;0;0;1;4;0;0;0;0000-0002-9364-2808;;Master;Phd;Assistant Professor;New Haven;Fairfax;Tuscaloosa;US;US;US;Yale University Yale Divinity School;George Mason University;The University of Alabama; None;History and Art History;Religious Studies
Brad Rittenhouse;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0002-0669-8724;;;;;;;;;;;;;;;;
Ximin Mi;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Courtney Allen;16/10/2019;16/10/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0002-5750-5988;;;; None;;;Seattle;;;US;;;University of Washington;;;Sociology
Telmo Menezes;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;0;0;0000-0001-7204-6428;;Phd;;;Coimbra;;;PT;;;Universidade de Coimbra;;;Faculty of Science and Technology;;
Ed Summers;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
James Baker;30/04/2014;16/10/2019;5;0;6;0;0;3;1;2;0;0;0;;;;;;;;;;;;;;;;;
Amanda Visconti;18/04/2016;23/11/2020;4;0;3;0;0;2;0;1;0;0;0;0000-0001-8584-8323;;Various roles (research fellow, webmaster, research assistant);;;College Park;;;US;;;Maryland Institute for Technology in the Humanities;;;Technology in the Humanities;;
Paige Morgan;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0001-8076-7356;;Graduate Teaching Assistant/Instructor;Digital Humanities Librarian;Librarian;Seattle;Coral Gables;Newark;US;US;US;University of Washington;University of Miami;University of Delaware;English;University of Miami Libraries;UD Library, Museums & Press
Jamie Howe;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Fred Gibbs;11/11/2012;10/08/2018;6;0;12;0;0;1;1;10;0;0;0;;;;;;;;;;;;;;;;;
Seth van Hooland;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2612-2228;;;;;;;;;;;;;;;;
Ruben Verborgh;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8596-222X;;;;;;;;;;;;;;;;
Max De Wilde;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0;0000-0002-6834-0250;;;Phd;Lecturer;;Brussels;Geneva;;BE;CH;;Université Libre de Bruxelles;University of Geneva;;Information Science;Multilingual Communication Technology
Patrick Burns;22/06/2013;08/12/2019;6;0;3;0;0;0;3;0;0;0;0;0000-0003-2158-866X;;;Phd;;;Bronx;;;US;;;Fordham University;;;Classics;
Nora McGregor;05/08/2013;05/08/2013;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Laura Turner O'Hara;22/05/2013;22/05/2013;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Thomas Jurczyk;29/09/2021;29/09/2021;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Melanie Walsh;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;0000-0003-4558-3310;;Phd;;;St. Louis;;;US;;;Washington University in St. Louis;;;English;;
Luling Huang;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Alex Wermer-Colan;29/09/2021;29/09/2021;0;0;1;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;0;0;0000-0003-4734-9894;;Phd;;;Cambridge;;;US;;;Massachusetts Institute of Technology;;;History, Anthropology, STS;;
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;0;0;0000-0003-2004-5161;;;;;;;;;;;;;;;;
Miriam Posner;17/07/2012;24/02/2016;4;0;19;0;0;2;0;17;0;0;0;;;;;;;;;;;;;;;;;
Scholars' Lab Community;23/11/2020;23/11/2020;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Jesse Sadler;03/05/2018;23/11/2020;2;0;2;0;0;0;2;0;0;0;0;;;;;;;;;;;;;;;;;
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;0;0;0000-0002-9126-2991;;Phd;;;Providence;;;US;;;Brown University;;;Egyptology and Assyriology;;
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;0;0;0000-0003-4981-1587;;Teaching Assistant;;;Durham;;;US;;;University of New Hampshire;;;History;;
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;0;0;0000-0002-5440-062X;;MA;Post-doc;Visiting Assistant Professor;Washington;Evanston;Granville;US;US;US;Georgetown University;Northwestern University;Denison University;English;Alice Kaplan Institute for the Humanities;Data Analytics
Sarah Connell;05/05/2020;05/05/2020;0;0;1;0;0;0;1;0;0;0;0;0000-0001-9202-5798;;;;;;;;;;;;;;;;
Heather Froehlich;19/06/2015;19/06/2015;0;0;1;0;0;1;0;0;0;0;0;0000-0001-9984-725X;;;Phd;Literary Informatics Librarian;;Glasgow;University Park;;GB;US;;University of Strathclyde;Pennsylvania State University;;English;University Libraries
Nabeel Siddiqui;19/06/2015;31/07/2017;2;0;2;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4429-136X;;;;Director;;;Selinsgrove;;;US;;;Susquehanna University;;;Library and Information Science
Ryan Deschamps;31/07/2017;04/11/2018;1;0;6;0;0;1;5;0;0;0;0;0000-0001-7934-6845;;;;;;;;;;;;;;;;
Sandra van Ginhoven;13/09/2017;13/09/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0001-6785-0809;;;;;;;;;;;;;;;;
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;0;0;0000-0002-4387-3384;;MA; None;;College Park;Los Angeles;;US;US;;University of Maryland;Getty Research Institute;;Art History & Archaeology; None;
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;0;0;0000-0001-9149-9377;;MA;Phd; None;Bremen;Bochum;Bochum;DE;DE;DE;Universität Bremen;Ruhr-Universitat Bochum;Ruhr-Universität Bochum; None; None;Lehrstuhl für Religionswissenschaft
Megan R. Brett;24/02/2016;24/02/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7474-7196;;MSc;;;Edinburgh;;;GB;;;University of Edinburgh;;;Scottish Studies;;
Sheila Brennan;24/02/2016;24/02/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0002-7883-2996;;Phd;Associate Director;;Fairfax;Fairfax;;US;US;;George Mason University;George Mason University;;History and Art History;Roy Rosenzweig Center for History and New Media;
Patrick Smyth;02/04/2018;02/04/2018;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Megan Kudzia;02/04/2018;17/05/2021;3;0;2;0;0;0;2;0;0;0;0;0000-0003-0900-6823;;Master;;;Detroit;;;US;;;Wayne State University;;;School of Library and Information Science;;
Jacob W. Greene;10/08/2018;10/08/2018;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Brenta Blevins;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Jason Crider;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2897-2090;;Graduate Teacher of Record;Graduate Research Fellow;Assistant Professor;Clemson;Gainesville;College Station;US;US;US;Clemson University;University of Florida;Texas A&M University ;English;English;English
Sean Morey;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0002-8409-6091;;;;;;;;;;;;;;;;
Anandi Silva Knuppel;15/01/2018;14/01/2019;1;0;3;0;0;0;2;1;0;0;0;;;;;;;;;;;;;;;;;
Marten Düring;18/02/2015;18/02/2015;0;0;1;0;0;1;0;0;0;0;0;0000-0001-7411-771X;;;;;;;;;;;;;;;;
Ryan Cordell;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4345-0533;;Phd;Associate Professor;Associate Professor;Charlottesville;Boston;Urbana;US;US;US;University of Virginia;Northeastern University;University of Illinois;English;English;Department of English
Justin Larsen;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Halle Burns;17/05/2021;17/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2346-2876;;Graduate Assistant;;;Urbana;;;US;;;University of Illinois;;;University Libraries;;
Brandon Locke;17/05/2021;17/05/2021;0;0;1;0;0;0;1;0;0;0;0;0000-0001-8531-3927;;;;;;;;;;;;;;;;
Caleb McDaniel;03/03/2014;24/04/2017;3;0;2;0;0;1;0;1;0;0;0;;;;;;;;;;;;;;;;;
Jon MacKay;20/02/2018;20/02/2018;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Matteo Romanello;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7406-6286;;Phd;;;London;;;GB;;;" ""King's College London""";;;Department of Digital Humanities;;
