id1;id2;size
Luling Huang;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;;
Alex Wermer-Colan;29/09/2021;29/09/2021;0;0;1;0;0;0;0;1;0;0;0;;
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;0;0;0000-0003-4734-9894;
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;0;0;0000-0003-2004-5161;
Miriam Posner;17/07/2012;24/02/2016;4;0;19;0;0;2;0;17;0;0;0;;
Scholars' Lab Community;23/11/2020;23/11/2020;0;0;1;0;0;1;0;0;0;0;0;;
Jesse Sadler;03/05/2018;23/11/2020;2;0;2;0;0;0;2;0;0;0;0;;
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;0;0;0000-0002-9126-2991;
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;0;0;0000-0003-4981-1587;
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;0;0;0000-0002-5440-062X;
Sarah Connell;05/05/2020;05/05/2020;0;0;1;0;0;0;1;0;0;0;0;0000-0001-9202-5798;
Heather Froehlich;19/06/2015;19/06/2015;0;0;1;0;0;1;0;0;0;0;0;0000-0001-9984-725X;
Nabeel Siddiqui;19/06/2015;31/07/2017;2;0;2;0;0;1;1;0;0;0;0;;
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4429-136X;
Ryan Deschamps;31/07/2017;04/11/2018;1;0;6;0;0;1;5;0;0;0;0;0000-0001-7934-6845;
Sandra van Ginhoven;13/09/2017;13/09/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0001-6785-0809;
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;0;0;0000-0002-4387-3384;
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;0;0;0000-0001-9149-9377;
Megan R. Brett;24/02/2016;24/02/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7474-7196;
Sheila Brennan;24/02/2016;24/02/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0002-7883-2996;
Patrick Smyth;02/04/2018;02/04/2018;0;0;1;0;0;1;0;0;0;0;0;;
Megan Kudzia;02/04/2018;17/05/2021;3;0;2;0;0;0;2;0;0;0;0;0000-0003-0900-6823;
Jacob W. Greene;10/08/2018;10/08/2018;0;0;1;0;0;1;0;0;0;0;0;;
Brenta Blevins;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;;
Jason Crider;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2897-2090;
Sean Morey;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0002-8409-6091;
Anandi Silva Knuppel;15/01/2018;14/01/2019;1;0;3;0;0;0;2;1;0;0;0;;
Marten Düring;18/02/2015;18/02/2015;0;0;1;0;0;1;0;0;0;0;0;0000-0001-7411-771X;
Ryan Cordell;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4345-0533;
Justin Larsen;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0;;
Halle Burns;17/05/2021;17/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2346-2876;
Brandon Locke;17/05/2021;17/05/2021;0;0;1;0;0;0;1;0;0;0;0;0000-0001-8531-3927;
Caleb McDaniel;03/03/2014;24/04/2017;3;0;2;0;0;1;0;1;0;0;0;;
Jon MacKay;20/02/2018;20/02/2018;0;0;1;0;0;1;0;0;0;0;0;;
Matteo Romanello;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7406-6286;
Simon Hengchen;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8453-7221;
Ryan Muther;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0;;
Marco Büchler;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0;;
Anna-Maria Sichani;18/03/2019;11/02/2022;3;0;5;0;0;0;0;5;0;0;0;0000-0001-6778-4610;
Luke Bergmann;11/11/2012;11/11/2012;0;0;1;0;0;0;1;0;0;0;0;;
Sharon Howard;11/11/2012;30/04/2014;2;0;2;0;0;0;2;0;0;0;0;0000-0002-6051-6274;
Joanna Swafford;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0003-4125-2813;
Celeste Tường Vy Sharpe;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0;;
Jessica Otis;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0001-5519-8331;
Christopher N. Warren;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9881-682X;
Scott Weingart;02/09/2012;23/08/2017;5;0;2;0;0;2;0;0;0;0;0;0000-0001-9792-9446;
Elisa Beshero-Bondar;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1709-2314;
Anne Chao;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;;
Qiwei Li;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1020-3050;
Stephen Krewson;14/01/2019;14/01/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0002-6086-0649;
Catherine DeRose;22/11/2016;30/01/2020;4;0;3;0;0;0;3;0;0;0;0;0000-0002-0384-7704;
Guy McClellan;01/12/2015;01/12/2015;0;0;1;0;0;0;1;0;0;0;0;;
Amanda Morton;17/07/2012;01/12/2015;3;0;7;0;0;0;7;0;0;0;0;;
Evan Peter Williamson;12/08/2017;12/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7990-9924;
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2771-5367;
Lisa Lowry;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0;;
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0;0000-0003-1275-4101;
