pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;orcid_id;digital humanities;digital history;history;literature;public history;18th century;archaeology;book history;contemporary history;digital humanities;digital libraries;education;iberian culture;information science;network analysis;political economy;sound studies;text analysis;web archives;before PH;During PH;After PH
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;0;0;0000-0003-2004-5161;;;;;;;;;;;;;;;;;;;;;;
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;0;0;0000-0002-9126-2991;;;;;;;;;;;;;;;;;;;;Bachelor;;
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;0;0;0000-0003-4981-1587;;;;;;;;;;;;;;;;;;;;Adjunct Professor;;
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;0;0;0000-0002-5440-062X;1;;;1;;;;;;;;;;;;;;;;Bachelor;Phd;Visiting Assistant Professor
Heather Froehlich;19/06/2015;19/06/2015;0;0;1;0;0;1;0;0;0;0;0;0000-0001-9984-725X;;;;;;;;;;;;;;;;;;;;;Phd;Literary Informatics Librarian
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4429-136X;;;;;;;;;;;;;;;;;;;;;;Assistant Director
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;0;0;0000-0002-4387-3384;1;;;;;;;;;;;;;;;;;;;Bachelor; None;
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;0;0;0000-0001-9149-9377;1;;;;;;;;;;;;;;;;;;; None;Phd; None
Megan R. Brett;24/02/2016;24/02/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7474-7196;;;;;;;;;;;;;;;;;;;;MSc;;
Sheila Brennan;24/02/2016;24/02/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0002-7883-2996;;1;;;1;;;;;;;;;;;;;;;Phd;Associate Director;
Megan Kudzia;02/04/2018;17/05/2021;3;0;2;0;0;0;2;0;0;0;0;0000-0003-0900-6823;;;;;;;;;;;;;;;;;;;;Bachelor;;
Jason Crider;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2897-2090;;;;;;;;;;;;;;;;;;;;Bachelor;Graduate Research Fellow;Assistant Professor
Ryan Cordell;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4345-0533;;;;;;;;;;;;;;;;;;;;Phd;Associate Professor;Associate Professor
Halle Burns;17/05/2021;17/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2346-2876;;;;;;;;;;;;;;;;;;;;Bachelor;;
Matteo Romanello;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7406-6286;1;;;;;;;;;;;;;;;;;;;Bachelor;;
Simon Hengchen;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8453-7221;;;;;;;;;;;;;;;;;;;; None;;
Anna-Maria Sichani;18/03/2019;11/02/2022;3;0;5;0;0;0;0;5;0;0;0;0000-0001-6778-4610;;;;;;;;;;;;;;;;;;;; None;;
Sharon Howard;11/11/2012;30/04/2014;2;0;2;0;0;0;2;0;0;0;0;0000-0002-6051-6274;;1;;;;;;;;;;;;;;;;;;Phd;Research Assistant;Research Assistant
Joanna Swafford;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0003-4125-2813;1;;;;;;;;;;;;;;;;1;;;Bachelor;Assistant Professor;Digital Humanities Specialist
Jessica Otis;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0001-5519-8331;1;1;1;;;;;;;;;;;;1;;;;;Adjunct Professor;Digital Humanities Specialist, Visiting Assistant Professor of History;Director of Public Projects at the Roy Rosenzweig Center for History and New Media, Assistant Professor of History
Christopher N. Warren;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9881-682X;;;;;;;;;;;;;;;;;;;;Assistant Professor;;
Elisa Beshero-Bondar;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1709-2314;1;;;;;;;;;;;;;;;;;;;Assistant Professor;Associate Professor;Program Chair and Professor of Digital Humanities
Qiwei Li;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1020-3050;;;;;;;;;;;;;;;;;;;;;Assistant Professor;Assistant Professor
Stephen Krewson;14/01/2019;14/01/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0002-6086-0649;;;;;;;;;;;;;;;;;;;;Bachelor;;
Catherine DeRose;22/11/2016;30/01/2020;4;0;3;0;0;0;3;0;0;0;0;0000-0002-0384-7704;;;;;;;;;;;;;;;;;;;;;Outreach and Engagement Manager;
Evan Peter Williamson;12/08/2017;12/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-7990-9924;;;;;;;;;;;;;;;;;;;;Bachelor;;
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2771-5367;;;;;;;;;;;;;;;;;;;;Bachelor;Metadata & Cataloging Librarian;Head of Metadata Initiatives
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0;0000-0003-1275-4101;1;1;1;;;;;;;;;;;;;;;;;Bachelor;;
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0;0000-0002-2480-4746;;;;;;;;;;;;;;;;;;;;;;
Brandon Hawk;25/11/2014;25/11/2014;0;0;1;0;0;0;1;0;0;0;0;0000-0002-5406-8807;;;;;;;;;;;;;;;;;;;;Bachelor;;Associate Professor
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-4352-2154;;;;;;;;;;;;;;;;;;;;Associate researcher;Lecturer;Senior Lecturer
Anouk Lang;31/10/2017;31/10/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0001-9597-1026;;;;;;;;;;;;;;;;;;;;;;
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;0;0;0000-0003-0774-4777;;;;;;;;;;;;;;;;;;;;Hon. B.Sc.;;Head, Research Support (Arts and Special Collections)
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;0;0;0000-0002-1568-8843;;;;;;;;;;;;;;;;;;;;Phd;;Associate Professor
Finn Arne Jørgensen;13/12/2013;13/12/2013;0;0;4;0;0;0;4;0;0;0;0;0000-0003-3696-4189;;;;;;;;;;;;;;;;;;;;Phd;Associate Professor;Professor
Peter Webster;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;0;0;0000-0001-6801-0852;;;;;;;;;;;;;;;;;;;;;;
Eric Weinberg;20/08/2018;20/08/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0002-3311-1060;;;;;;;;;;;;;;;;;;;;;;
John Fink;02/09/2012;13/11/2015;3;0;2;0;0;0;2;0;0;0;0;0000-0001-5301-5626;;;;;;;;;;;;;;;;;;;;Bachelor;;
Jeff Blackadar;03/05/2018;03/05/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0002-8160-0942;;;;;;;;;;;;;;;;;;;;;Bachelor;
Simon Appleford;03/05/2018;03/05/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2192-7860;;;;;;;;;;;;;;;;;;;; None;;
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2827-1569;;;;;;;;;;;;;;;;;;1;;Bachelor;;
Ben Hurwitz;06/05/2013;06/05/2013;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2670-6514;;;;;;;;;;;;;;;;;;;;Bachelor;;Bachelor
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2696-1419;;;;;;;;;;;;;;;;;;;;Bachelor;;
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;0;0;0000-0002-2887-3554;;;1;;1;;1;;;;;1;;;;;;;;Phd;;
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;0;0;0000-0001-7750-7246;;;;;;;;;;;;;;;;;;;;Post-doc;;
Charlotte Tupman;20/09/2014;20/09/2014;0;0;1;0;0;0;1;0;0;0;0;0000-0002-4211-1062;;;;;;;;;;;;;;;;;;;;Bachelor;;
Terhi Nurmikko-Fuller;07/05/2017;07/05/2017;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0688-3006;;;;;;;;;;;;;;;;;;;;Phd;;
Ted Dawson;21/07/2016;21/07/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9192-6233;;;;;;;;;;;;;;;;;;;;Bachelor;Phd;Assistant Professor
Erin N. Bush;21/07/2016;24/04/2017;1;0;2;0;0;0;2;0;0;0;0;0000-0002-5958-9038;;;;;;;;;;;;;;;;;;;;Bachelor;Adjunct Instructor;Assistant Professor
Dave Rodriguez;20/12/2018;11/12/2020;2;0;1;0;1;1;0;0;1;0;0;0000-0001-9759-8464;;;;;;;;;;;;;;;;;;;;Bachelor;;Digital Services Librarian
Go Sugimoto;22/05/2019;22/05/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0003-2646-6784;;;;;;;;;;;;;;;;;;;;Bachelor; None;Researcher
Folgert Karsdorp;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0002-5958-0551;;;;;;;;;;;;;;;;;;;;;;
Jan Rybicki;21/04/2018;21/04/2018;0;0;1;0;0;0;1;0;0;0;0;0000-0003-2504-9372;;;;;;;;;;;;;;;;;;;;magister;;
Antonio Rojas Castro;15/03/2017;11/12/2020;3;0;1;0;45;0;2;1;1;14;28;0000-0002-8916-4997;1;;;;;;;;;;;;;;;;;;;Researcher; None;
Tassie Gniady;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0001-8693-3677;;;;;;;;;;;;;;;;;;;;;;
David Kloster;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0001-8577-8409;;;;;;;;;;;;;;;;;;;;Biblical Studies;;
Kim Pham;29/08/2017;29/08/2017;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9115-4739;;;;;;;;;;;1;;;;;;;;;Master;; None
Vilja Hulden;17/12/2014;17/12/2014;0;0;1;0;0;1;0;0;0;0;0;0000-0002-3812-7010;;;;;;;;;;;;;;;;;;;;;;
Francesca Benatti;17/07/2012;17/07/2012;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1456-7812;1;;;;;;;1;;;;;;;;;;;;;;
Andrew Akhlaghi;06/01/2021;06/01/2021;0;0;1;0;0;1;0;0;0;0;0;0000-0002-0824-3328;;;;;;;;;;;;;;;;;;;;Bachelor;;
Clemens Neudecker;06/01/2021;06/01/2021;0;0;1;0;0;0;1;0;0;0;0;0000-0001-5293-8322;1;;;;;;;;;;1;;;;;;;;;Magister Artium;;
Gustavo Candela;06/01/2021;30/08/2021;0;0;1;0;1;1;1;0;0;0;0;0000-0001-6122-0777;;;;;;;;;;;;;;;;;;;;Doctor en Informática;;
Jeff Veitch;07/06/2016;07/06/2016;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0287-7493;;;;;;;;;;;;;;;;;1;;;M.A. Biblical Studies;MPhil Classical and Archaeological Studies;Visiting lecturer
Alex Brey;04/11/2018;04/11/2018;0;0;1;0;0;1;0;0;0;0;0;0000-0002-3201-8462;;;;;;;;;;;;;;;;;;;;;;Assistant Professor
Peter Organisciak;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;0;0;0000-0002-9058-2280;;;;;;;;;;;;;;;;;;;;MA in Humanities Computing - Library and Information Studies;;Assistant Professor
