pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer
Patrick Smyth;02/04/2018;02/04/2018;0;0;1;0;0;1;0;0;0;0;0
Megan Kudzia;02/04/2018;17/05/2021;3;0;2;0;0;0;2;0;0;0;0
Jacob W. Greene;10/08/2018;10/08/2018;0;0;1;0;0;1;0;0;0;0;0
Brenta Blevins;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0
Jason Crider;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0
Sean Morey;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0
Anandi Silva Knuppel;15/01/2018;14/01/2019;1;0;3;0;0;0;2;1;0;0;0
Marten Düring;18/02/2015;18/02/2015;0;0;1;0;0;1;0;0;0;0;0
Ryan Cordell;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0
Justin Larsen;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0
Halle Burns;17/05/2021;17/05/2021;0;0;1;0;0;1;0;0;0;0;0
Brandon Locke;17/05/2021;17/05/2021;0;0;1;0;0;0;1;0;0;0;0
Caleb McDaniel;03/03/2014;24/04/2017;3;0;2;0;0;1;0;1;0;0;0
Jon MacKay;20/02/2018;20/02/2018;0;0;1;0;0;1;0;0;0;0;0
Matteo Romanello;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0
Simon Hengchen;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0
Ryan Muther;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0
Marco Büchler;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0
Anna-Maria Sichani;18/03/2019;11/02/2022;3;0;5;0;0;0;0;5;0;0;0
Luke Bergmann;11/11/2012;11/11/2012;0;0;1;0;0;0;1;0;0;0;0
Sharon Howard;11/11/2012;30/04/2014;2;0;2;0;0;0;2;0;0;0;0
Joanna Swafford;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0
