pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total_contrib;orcid;
Camille Carette;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;1;0;0;1;;
Florian Cafiero;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-1951-6942;
Sybille Clochet;10/04/2019;10/04/2019;0;1;0;0;0;0;0;0;1;0;0;1;;
Anne-Sophie Bessero-Lagarde;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;1;0;0;1;;
Martin Grandjean;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-3184-3943;
Arthur Perret;09/09/2020;09/09/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-4130-6669;
Zo&#235  Wilkinson Salda;15/01/2018;15/01/2018;0;0;1;0;0;1;0;0;0;1;0;2;;
Thomas Soubiran;15/01/2020;06/10/2021;1;2;0;0;0;0;0;0;1;0;1;2;0000-0001-8531-8488;
Frédéric Clavert;06/07/2019;16/10/2019;0;1;1;0;0;0;1;0;0;0;1;2;0000-0002-0237-2532;
Célian Ringwald;10/06/2021;10/09/2021;0;2;0;0;0;0;0;0;0;1;1;2;0000-0002-7302-9037;
Antoine Henry;10/06/2021;01/04/2022;1;2;0;0;0;0;0;1;0;0;1;2;0000-0003-4722-4610;
Marie Puren;10/04/2019;30/07/2020;1;2;0;0;0;0;0;0;0;0;2;2;0000-0001-5452-3913;
Alix Chagué;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;1;0;2;3;0000-0002-0136-4434;
Sylvain Machefert;01/07/2019;09/05/2020;1;3;0;0;0;0;0;0;2;0;1;3;0000-0001-9288-1754;
Marie-Christine Boucher;02/04/2020;10/06/2021;1;5;0;0;0;0;0;0;1;1;3;5;0000-0002-2475-3184;
François Dominic Laramée;20/02/2018;10/06/2021;3;14;2;0;0;1;1;0;3;5;6;16;0000-0001-5542-3754;
Catherine Nygren;13/05/2019;13/05/2019;0;0;1;0;0;0;1;0;0;0;0;1;;
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-0276-8078;
Aurélien Berra;27/06/2012;27/06/2012;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-1695-8497;
Telmo Menezes;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-7204-6428;
Ed Summers;16/10/2019;16/10/2019;0;0;1;0;0;0;1;0;0;0;0;1;;
Paige Morgan;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-8076-7356;
Jamie Howe;18/04/2016;18/04/2016;0;0;1;0;0;0;1;0;0;0;0;1;;
Nora McGregor;05/08/2013;05/08/2013;0;0;1;0;0;0;1;0;0;0;0;1;;
Melanie Walsh;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-4558-3310;
Luling Huang;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0;1;;
Alex Wermer-Colan;29/09/2021;29/09/2021;0;0;1;0;0;0;0;1;0;0;0;1;;
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-9126-2991;
Sarah Connell;05/05/2020;05/05/2020;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-9202-5798;
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-4429-136X;
Sandra van Ginhoven;13/09/2017;13/09/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-6785-0809;
Sheila Brennan;24/02/2016;24/02/2016;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-7883-2996;
Brenta Blevins;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;1;;
Jason Crider;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-2897-2090;
Sean Morey;10/08/2018;10/08/2018;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-8409-6091;
Ryan Cordell;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-4345-0533;
Justin Larsen;18/02/2015;18/02/2015;0;0;1;0;0;0;1;0;0;0;0;1;;
Brandon Locke;17/05/2021;17/05/2021;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-8531-3927;
Ryan Muther;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0;1;;
Marco Büchler;16/05/2021;16/05/2021;0;0;1;0;0;0;1;0;0;0;0;1;;
Luke Bergmann;11/11/2012;11/11/2012;0;0;1;0;0;0;1;0;0;0;0;1;;
Joanna Swafford;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-4125-2813;
Celeste Tường Vy Sharpe;05/08/2016;05/08/2016;0;0;1;0;0;0;1;0;0;0;0;1;;
Elisa Beshero-Bondar;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-1709-2314;
Anne Chao;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;1;;
Qiwei Li;23/08/2017;23/08/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-1020-3050;
Guy McClellan;01/12/2015;01/12/2015;0;0;1;0;0;0;1;0;0;0;0;1;;
Peggy Griesinger;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-2771-5367;
Lisa Lowry;12/08/2017;12/08/2017;0;0;1;0;0;0;1;0;0;0;0;1;;
Eleni Gadolou;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0;1;;
Randa El Khatib;11/02/2022;11/02/2022;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-2480-4746;
Brandon Hawk;25/11/2014;25/11/2014;0;0;1;0;0;0;1;0;0;0;0;1;0000-0002-5406-8807;
Adam Dennett;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-2742-5968;
Léon Robichaud;27/01/2017;27/01/2017;0;0;1;0;0;0;1;0;0;0;0;1;;
Anouk Lang;31/10/2017;31/10/2017;0;0;1;0;0;0;1;0;0;0;0;1;0000-0001-9597-1026;
Nancy Lemay;13/11/2015;13/11/2015;0;0;1;0;0;0;1;0;0;0;0;1;0000-0003-0311-5252;
